fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
79,6.70,0.540,0.28,5.40,0.060,21.0,105.0,0.994900,3.27,0.37,9.000000,5
80,6.80,0.220,0.31,1.40,0.053,34.0,114.0,0.992900,3.39,0.77,10.600000,6
81,7.10,0.200,0.34,16.00,0.050,51.0,166.0,0.998500,3.21,0.60,9.200000,6
82,7.10,0.340,0.20,6.10,0.063,47.0,164.0,0.994600,3.17,0.42,10.000000,5
83,7.30,0.220,0.30,8.20,0.047,42.0,207.0,0.996600,3.33,0.46,9.500000,6
84,7.10,0.430,0.61,11.80,0.045,54.0,155.0,0.997400,3.11,0.45,8.700000,5
85,7.10,0.440,0.62,11.80,0.044,52.0,152.0,0.997500,3.12,0.46,8.700000,6
86,7.20,0.390,0.63,11.00,0.044,55.0,156.0,0.997400,3.09,0.44,8.700000,6
87,6.80,0.250,0.31,13.30,0.050,69.0,202.0,0.997200,3.22,0.48,9.700000,6
88,7.10,0.430,0.61,11.80,0.045,54.0,155.0,0.997400,3.11,0.45,8.700000,5
89,7.10,0.440,0.62,11.80,0.044,52.0,152.0,0.997500,3.12,0.46,8.700000,6
90,7.20,0.390,0.63,11.00,0.044,55.0,156.0,0.997400,3.09,0.44,8.700000,6
91,6.10,0.270,0.43,7.50,0.049,65.0,243.0,0.995700,3.12,0.47,9.000000,5
92,6.90,0.240,0.33,1.70,0.035,47.0,136.0,0.990000,3.26,0.40,12.600000,7
93,6.90,0.210,0.33,1.80,0.034,48.0,136.0,0.989900,3.25,0.41,12.600000,7
94,7.50,0.170,0.32,1.70,0.040,51.0,148.0,0.991600,3.21,0.44,11.500000,7
95,7.10,0.260,0.29,12.40,0.044,62.0,240.0,0.996900,3.04,0.42,9.200000,6
96,6.00,0.340,0.66,15.90,0.046,26.0,164.0,0.997900,3.14,0.50,8.800000,6
97,8.60,0.265,0.36,1.20,0.034,15.0,80.0,0.991300,2.95,0.36,11.400000,7
98,9.80,0.360,0.46,10.50,0.038,4.0,83.0,0.995600,2.89,0.30,10.100000,4
99,6.00,0.340,0.66,15.90,0.046,26.0,164.0,0.997900,3.14,0.50,8.800000,6
100,7.40,0.250,0.37,13.50,0.060,52.0,192.0,0.997500,3.00,0.44,9.100000,5
101,7.10,0.120,0.32,9.60,0.054,64.0,162.0,0.996200,3.40,0.41,9.400000,5
102,6.00,0.210,0.24,12.10,0.050,55.0,164.0,0.997000,3.34,0.39,9.400000,5
103,7.50,0.305,0.40,18.90,0.059,44.0,170.0,1.000000,2.99,0.46,9.000000,5
104,7.40,0.250,0.37,13.50,0.060,52.0,192.0,0.997500,3.00,0.44,9.100000,5
105,7.30,0.130,0.32,14.40,0.051,34.0,109.0,0.997400,3.20,0.35,9.200000,6
106,7.10,0.120,0.32,9.60,0.054,64.0,162.0,0.996200,3.40,0.41,9.400000,5
107,7.10,0.230,0.35,16.50,0.040,60.0,171.0,0.999000,3.16,0.59,9.100000,6
108,7.10,0.230,0.35,16.50,0.040,60.0,171.0,0.999000,3.16,0.59,9.100000,6
109,6.90,0.330,0.28,1.30,0.051,37.0,187.0,0.992700,3.27,0.60,10.300000,5
110,6.50,0.170,0.54,8.50,0.082,64.0,163.0,0.995900,2.89,0.39,8.800000,6
111,7.20,0.270,0.46,18.75,0.052,45.0,255.0,1.000000,3.04,0.52,8.900000,5
112,7.20,0.310,0.50,13.30,0.056,68.0,195.0,0.998200,3.01,0.47,9.200000,5
113,6.70,0.410,0.34,9.20,0.049,29.0,150.0,0.996800,3.22,0.51,9.100000,5
114,6.70,0.410,0.34,9.20,0.049,29.0,150.0,0.996800,3.22,0.51,9.100000,5
115,5.50,0.485,0.00,1.50,0.065,8.0,103.0,0.994000,3.63,0.40,9.700000,4
116,6.00,0.310,0.24,3.30,0.041,25.0,143.0,0.991400,3.31,0.44,11.300000,6
117,7.00,0.140,0.40,1.70,0.035,16.0,85.0,0.991100,3.19,0.42,11.800000,6
118,7.20,0.310,0.50,13.30,0.056,68.0,195.0,0.998200,3.01,0.47,9.200000,5
119,7.30,0.320,0.48,13.30,0.060,57.0,196.0,0.998200,3.04,0.50,9.200000,5
120,5.90,0.360,0.04,5.70,0.046,21.0,87.0,0.993400,3.22,0.51,10.200000,5
121,7.80,0.240,0.32,12.20,0.054,42.0,138.0,0.998400,3.01,0.54,8.800000,5
122,7.40,0.160,0.31,6.85,0.059,31.0,131.0,0.995200,3.29,0.34,9.700000,5
123,6.90,0.190,0.28,5.00,0.058,14.0,146.0,0.995200,3.29,0.36,9.100000,6
124,6.40,0.130,0.47,1.60,0.092,40.0,158.0,0.992800,3.21,0.36,9.800000,6
125,6.70,0.190,0.36,1.10,0.026,63.0,143.0,0.991200,3.27,0.48,11.000000,6
126,7.40,0.390,0.23,7.00,0.033,29.0,126.0,0.994000,3.14,0.42,10.500000,5
127,6.50,0.240,0.32,7.60,0.038,48.0,203.0,0.995800,3.45,0.54,9.700000,7
128,6.10,0.300,0.56,2.80,0.044,47.0,179.0,0.992400,3.30,0.57,10.900000,7
129,6.10,0.300,0.56,2.70,0.046,46.0,184.0,0.992400,3.31,0.57,10.900000,6
130,5.70,0.260,0.25,10.40,0.020,7.0,57.0,0.994000,3.39,0.37,10.600000,5
131,6.50,0.240,0.32,7.60,0.038,48.0,203.0,0.995800,3.45,0.54,9.700000,7
132,6.50,0.425,0.40,13.10,0.038,59.0,241.0,0.997900,3.23,0.57,9.000000,5
133,6.60,0.240,0.27,15.80,0.035,46.0,188.0,0.998200,3.24,0.51,9.200000,5
134,6.80,0.270,0.22,8.10,0.034,55.0,203.0,0.996100,3.19,0.52,8.900000,5
135,6.70,0.270,0.31,15.70,0.036,44.0,179.0,0.997900,3.26,0.56,9.600000,5
136,8.20,0.230,0.40,1.20,0.027,36.0,121.0,0.992000,3.12,0.38,10.700000,6
137,7.10,0.370,0.67,10.50,0.045,49.0,155.0,0.997500,3.16,0.44,8.700000,5
138,6.80,0.190,0.36,1.90,0.035,30.0,96.0,0.991700,3.15,0.54,10.800000,7
139,8.10,0.280,0.39,1.90,0.029,18.0,79.0,0.992300,3.23,0.52,11.800000,6
140,6.30,0.310,0.34,2.20,0.045,20.0,77.0,0.992700,3.30,0.43,10.200000,5
141,7.10,0.370,0.67,10.50,0.045,49.0,155.0,0.997500,3.16,0.44,8.700000,5
142,7.90,0.210,0.40,1.20,0.039,38.0,107.0,0.992000,3.21,0.54,10.800000,6
143,8.50,0.210,0.41,4.30,0.036,24.0,99.0,0.994700,3.18,0.53,9.700000,6
144,8.10,0.200,0.40,2.00,0.037,19.0,87.0,0.992100,3.12,0.54,11.200000,6
145,6.30,0.255,0.37,1.10,0.040,37.0,114.0,0.990500,3.00,0.39,10.900000,6
146,5.60,0.160,0.27,1.40,0.044,53.0,168.0,0.991800,3.28,0.37,10.100000,6
147,6.40,0.595,0.14,5.20,0.058,15.0,97.0,0.995100,3.38,0.36,9.000000,4
148,6.30,0.340,0.33,4.60,0.034,19.0,80.0,0.991700,3.38,0.58,12.000000,7
149,6.90,0.250,0.30,4.10,0.054,23.0,116.0,0.994000,2.99,0.38,9.400000,6
150,7.90,0.220,0.38,8.00,0.043,46.0,152.0,0.993400,3.12,0.32,11.500000,7
151,7.60,0.180,0.46,10.20,0.055,58.0,135.0,0.996800,3.14,0.43,9.900000,6
152,6.90,0.250,0.30,4.10,0.054,23.0,116.0,0.994000,2.99,0.38,9.400000,6
153,7.20,0.180,0.41,1.20,0.048,41.0,97.0,0.991900,3.14,0.45,10.400000,5
154,8.20,0.230,0.40,7.50,0.049,12.0,76.0,0.996600,3.06,0.84,9.700000,6
155,7.40,0.240,0.42,14.00,0.066,48.0,198.0,0.997900,2.89,0.42,8.900000,6
156,7.40,0.240,0.42,14.00,0.066,48.0,198.0,0.997900,2.89,0.42,8.900000,6
157,6.10,0.320,0.24,1.50,0.036,38.0,124.0,0.989800,3.29,0.42,12.400000,7
158,5.20,0.440,0.04,1.40,0.036,43.0,119.0,0.989400,3.36,0.33,12.100000,8
159,5.20,0.440,0.04,1.40,0.036,43.0,119.0,0.989400,3.36,0.33,12.100000,8
160,6.10,0.320,0.24,1.50,0.036,38.0,124.0,0.989800,3.29,0.42,12.400000,7
161,6.40,0.220,0.56,14.50,0.055,27.0,159.0,0.998000,2.98,0.40,9.100000,5
162,6.30,0.360,0.30,4.80,0.049,14.0,85.0,0.993200,3.28,0.39,10.600000,5
163,7.40,0.240,0.42,14.00,0.066,48.0,198.0,0.997900,2.89,0.42,8.900000,6
164,6.70,0.240,0.35,13.10,0.050,64.0,205.0,0.997000,3.15,0.50,9.500000,5
165,7.00,0.230,0.36,13.00,0.051,72.0,177.0,0.997200,3.16,0.49,9.800000,5
166,8.40,0.270,0.46,8.70,0.048,39.0,197.0,0.997400,3.14,0.59,9.600000,6
167,6.70,0.460,0.18,2.40,0.034,25.0,98.0,0.989600,3.08,0.44,12.600000,7
168,7.50,0.290,0.31,8.95,0.055,20.0,151.0,0.996800,3.08,0.54,9.300000,5
169,9.80,0.420,0.48,9.85,0.034,5.0,110.0,0.995800,2.87,0.29,10.000000,5
170,7.10,0.300,0.46,1.50,0.066,29.0,133.0,0.990600,3.12,0.54,12.700000,6
171,7.90,0.190,0.45,1.50,0.045,17.0,96.0,0.991700,3.13,0.39,11.000000,6
172,7.60,0.480,0.37,0.80,0.037,4.0,100.0,0.990200,3.03,0.39,11.400000,4
173,6.30,0.220,0.43,4.55,0.038,31.0,130.0,0.991800,3.35,0.33,11.500000,7
174,7.50,0.270,0.31,17.70,0.051,33.0,173.0,0.999000,3.09,0.64,10.200000,5
175,6.90,0.230,0.40,7.50,0.040,50.0,151.0,0.992700,3.11,0.27,11.400000,6
176,7.20,0.320,0.47,5.10,0.044,19.0,65.0,0.991000,3.03,0.41,12.600000,4
177,5.90,0.230,0.30,12.90,0.054,57.0,170.0,0.997200,3.28,0.39,9.400000,5
178,6.00,0.670,0.07,1.20,0.060,9.0,108.0,0.993100,3.11,0.35,8.700000,4
179,6.40,0.250,0.32,5.50,0.049,41.0,176.0,0.995000,3.19,0.68,9.200000,6
180,6.40,0.330,0.31,5.50,0.048,42.0,173.0,0.995100,3.19,0.66,9.300000,6
181,7.10,0.340,0.15,1.20,0.053,61.0,183.0,0.993600,3.09,0.43,9.200000,5
182,6.80,0.280,0.40,22.00,0.048,48.0,167.0,1.001000,2.93,0.50,8.700000,5
183,6.90,0.270,0.40,14.00,0.050,64.0,227.0,0.997900,3.18,0.58,9.600000,6
184,6.80,0.260,0.56,11.90,0.043,64.0,226.0,0.997000,3.02,0.63,9.300000,5
185,6.80,0.290,0.56,11.90,0.043,66.0,230.0,0.997200,3.02,0.63,9.300000,5
186,6.70,0.240,0.41,9.40,0.040,49.0,166.0,0.995400,3.12,0.61,9.900000,6
187,5.90,0.300,0.23,4.20,0.038,42.0,119.0,0.992400,3.15,0.50,11.000000,5
188,6.80,0.530,0.35,3.80,0.034,26.0,109.0,0.990600,3.26,0.57,12.700000,8
189,6.50,0.280,0.28,8.50,0.047,54.0,210.0,0.996200,3.09,0.54,8.900000,4
190,6.60,0.280,0.28,8.50,0.052,55.0,211.0,0.996200,3.09,0.55,8.900000,6
191,6.80,0.280,0.40,22.00,0.048,48.0,167.0,1.001000,2.93,0.50,8.700000,5
192,6.80,0.280,0.36,8.00,0.045,28.0,123.0,0.992800,3.02,0.37,11.400000,6
193,6.60,0.150,0.34,5.10,0.055,34.0,125.0,0.994200,3.36,0.42,9.600000,5
194,6.40,0.290,0.44,3.60,0.200,75.0,181.0,0.994200,3.02,0.41,9.100000,5
195,6.40,0.300,0.45,3.50,0.197,76.0,180.0,0.994200,3.02,0.39,9.100000,6
196,6.40,0.290,0.44,3.60,0.197,75.0,183.0,0.994200,3.01,0.38,9.100000,5
197,6.80,0.260,0.24,7.80,0.052,54.0,214.0,0.996100,3.13,0.47,8.900000,5
198,7.10,0.320,0.24,13.10,0.050,52.0,204.0,0.998000,3.10,0.49,8.800000,5
199,6.80,0.260,0.24,7.80,0.052,54.0,214.0,0.996100,3.13,0.47,8.900000,5
200,6.80,0.270,0.26,16.10,0.049,55.0,196.0,0.998400,3.15,0.50,9.300000,5
201,7.10,0.320,0.24,13.10,0.050,52.0,204.0,0.998000,3.10,0.49,8.800000,5
202,6.90,0.540,0.32,13.20,0.050,53.0,236.0,0.997300,3.20,0.50,9.600000,5
203,6.80,0.260,0.34,13.90,0.034,39.0,134.0,0.994900,3.33,0.53,12.000000,6
204,5.80,0.280,0.35,2.30,0.053,36.0,114.0,0.992400,3.28,0.50,10.200000,4
205,6.40,0.210,0.50,11.60,0.042,45.0,153.0,0.997200,3.15,0.43,8.800000,5
206,7.00,0.160,0.32,8.30,0.045,38.0,126.0,0.995800,3.21,0.34,9.200000,5
207,10.20,0.440,0.88,6.20,0.049,20.0,124.0,0.996800,2.99,0.51,9.900000,4
208,6.80,0.570,0.29,2.20,0.040,15.0,77.0,0.993800,3.32,0.74,10.200000,5
209,6.10,0.400,0.31,0.90,0.048,23.0,170.0,0.993000,3.22,0.77,9.500000,6
210,5.60,0.245,0.25,9.70,0.032,12.0,68.0,0.994000,3.31,0.34,10.500000,5
211,6.80,0.180,0.38,1.40,0.038,35.0,111.0,0.991800,3.32,0.59,11.200000,7
212,7.00,0.160,0.32,8.30,0.045,38.0,126.0,0.995800,3.21,0.34,9.200000,5
213,6.70,0.130,0.29,5.30,0.051,31.0,122.0,0.994400,3.44,0.37,9.700000,6
214,6.20,0.250,0.25,1.40,0.030,35.0,105.0,0.991200,3.30,0.44,11.100000,7
215,5.80,0.260,0.24,9.20,0.044,55.0,152.0,0.996100,3.31,0.38,9.400000,5
216,7.50,0.270,0.36,7.00,0.036,45.0,164.0,0.993900,3.03,0.33,11.000000,5
217,5.80,0.260,0.24,9.20,0.044,55.0,152.0,0.996100,3.31,0.38,9.400000,5
218,5.70,0.280,0.24,17.50,0.044,60.0,167.0,0.998900,3.31,0.44,9.400000,5
219,7.50,0.230,0.36,7.00,0.036,43.0,161.0,0.993800,3.04,0.32,11.000000,5
220,7.50,0.270,0.36,7.00,0.036,45.0,164.0,0.993900,3.03,0.33,11.000000,5
221,7.20,0.685,0.21,9.50,0.070,33.0,172.0,0.997100,3.00,0.55,9.100000,6
222,6.20,0.250,0.25,1.40,0.030,35.0,105.0,0.991200,3.30,0.44,11.100000,7
223,6.50,0.190,0.30,0.80,0.043,33.0,144.0,0.993600,3.42,0.39,9.100000,6
224,6.30,0.495,0.22,1.80,0.046,31.0,140.0,0.992900,3.39,0.54,10.400000,6
225,7.10,0.240,0.41,17.80,0.046,39.0,145.0,0.999800,3.32,0.39,8.700000,5
226,6.40,0.170,0.32,2.40,0.048,41.0,200.0,0.993800,3.50,0.50,9.700000,6
227,7.10,0.250,0.32,10.30,0.041,66.0,272.0,0.996900,3.17,0.52,9.100000,6
228,6.40,0.170,0.32,2.40,0.048,41.0,200.0,0.993800,3.50,0.50,9.700000,6
229,7.10,0.240,0.41,17.80,0.046,39.0,145.0,0.999800,3.32,0.39,8.700000,5
230,6.80,0.640,0.08,9.70,0.062,26.0,142.0,0.997200,3.37,0.46,8.900000,4
231,8.30,0.280,0.40,7.80,0.041,38.0,194.0,0.997600,3.34,0.51,9.600000,6
232,8.20,0.270,0.39,7.80,0.039,49.0,208.0,0.997600,3.31,0.51,9.500000,6
233,7.20,0.230,0.38,14.30,0.058,55.0,194.0,0.997900,3.09,0.44,9.000000,6
234,7.20,0.230,0.38,14.30,0.058,55.0,194.0,0.997900,3.09,0.44,9.000000,6
235,7.20,0.230,0.38,14.30,0.058,55.0,194.0,0.997900,3.09,0.44,9.000000,6
236,7.20,0.230,0.38,14.30,0.058,55.0,194.0,0.997900,3.09,0.44,9.000000,6
237,6.80,0.520,0.32,13.20,0.044,54.0,221.0,0.997200,3.27,0.50,9.600000,6
238,7.00,0.260,0.59,1.40,0.037,40.0,120.0,0.991800,3.34,0.41,11.100000,7
239,6.20,0.250,0.21,15.55,0.039,28.0,159.0,0.998200,3.48,0.64,9.600000,6
240,7.30,0.320,0.23,13.70,0.050,49.0,197.0,0.998500,3.20,0.46,8.700000,5
241,7.70,0.310,0.26,7.80,0.031,23.0,90.0,0.994400,3.13,0.50,10.400000,5
242,7.10,0.210,0.37,2.40,0.026,23.0,100.0,0.990300,3.15,0.38,11.400000,7
243,6.80,0.240,0.34,2.70,0.047,64.5,218.5,0.993400,3.30,0.58,9.700000,6
244,6.90,0.400,0.56,11.20,0.043,40.0,142.0,0.997500,3.14,0.46,8.700000,5
245,6.10,0.180,0.36,2.00,0.038,20.0,249.5,0.992300,3.37,0.79,11.300000,6
246,6.80,0.210,0.27,2.10,0.030,26.0,139.0,0.990000,3.16,0.61,12.600000,7
247,5.80,0.200,0.27,1.40,0.031,12.0,77.0,0.990500,3.25,0.36,10.900000,7
248,5.60,0.190,0.26,1.40,0.030,12.0,76.0,0.990500,3.25,0.37,10.900000,7
249,6.10,0.410,0.14,10.40,0.037,18.0,119.0,0.996000,3.38,0.45,10.000000,5
250,5.90,0.210,0.28,4.60,0.053,40.0,199.0,0.996400,3.72,0.70,10.000000,4
251,8.50,0.260,0.21,16.20,0.074,41.0,197.0,0.998000,3.02,0.50,9.800000,3
252,6.90,0.400,0.56,11.20,0.043,40.0,142.0,0.997500,3.14,0.46,8.700000,5
253,5.80,0.240,0.44,3.50,0.029,5.0,109.0,0.991300,3.53,0.43,11.700000,3
254,5.80,0.240,0.39,1.50,0.054,37.0,158.0,0.993200,3.21,0.52,9.300000,6
255,6.70,0.260,0.39,1.10,0.040,45.0,147.0,0.993500,3.32,0.58,9.600000,8
256,6.30,0.350,0.30,5.70,0.035,8.0,97.0,0.992700,3.27,0.41,11.000000,7
257,6.30,0.350,0.30,5.70,0.035,8.0,97.0,0.992700,3.27,0.41,11.000000,7
258,6.40,0.230,0.39,1.80,0.032,23.0,118.0,0.991200,3.32,0.50,11.800000,6
259,5.80,0.360,0.38,0.90,0.037,3.0,75.0,0.990400,3.28,0.34,11.400000,4
260,6.90,0.115,0.35,5.40,0.048,36.0,108.0,0.993900,3.32,0.42,10.200000,6
261,6.90,0.290,0.40,19.45,0.043,36.0,156.0,0.999600,2.93,0.47,8.900000,5
262,6.90,0.280,0.40,8.20,0.036,15.0,95.0,0.994400,3.17,0.33,10.200000,5
263,7.20,0.290,0.40,13.60,0.045,66.0,231.0,0.997700,3.08,0.59,9.600000,6
264,6.20,0.240,0.35,1.20,0.038,22.0,167.0,0.991200,3.10,0.48,10.600000,6
265,6.90,0.290,0.40,19.45,0.043,36.0,156.0,0.999600,2.93,0.47,8.900000,5
266,6.90,0.320,0.26,8.30,0.053,32.0,180.0,0.996500,3.25,0.51,9.200000,6
267,5.30,0.580,0.07,6.90,0.043,34.0,149.0,0.994400,3.34,0.57,9.700000,5
268,5.30,0.585,0.07,7.10,0.044,34.0,145.0,0.994500,3.34,0.57,9.700000,6
269,5.40,0.590,0.07,7.00,0.045,36.0,147.0,0.994400,3.34,0.57,9.700000,6
270,6.90,0.320,0.26,8.30,0.053,32.0,180.0,0.996500,3.25,0.51,9.200000,6
271,5.20,0.600,0.07,7.00,0.044,33.0,147.0,0.994400,3.33,0.58,9.700000,5
272,5.80,0.250,0.26,13.10,0.051,44.0,148.0,0.997200,3.29,0.38,9.300000,5
273,6.60,0.580,0.30,5.10,0.057,30.0,123.0,0.994900,3.24,0.38,9.000000,5
274,7.00,0.290,0.54,10.70,0.046,59.0,234.0,0.996600,3.05,0.61,9.500000,5
275,6.60,0.190,0.41,8.90,0.046,51.0,169.0,0.995400,3.14,0.57,9.800000,6
276,6.70,0.200,0.41,9.10,0.044,50.0,166.0,0.995400,3.14,0.58,9.800000,6
