mpg,cyl,displ,hp,weight,accel,yr,origin,color,size
16.0,8,400.0,180,4220,11.1,77,US,green,49.467778
29.9,4,98.0,65,2380,20.7,81,US,blue,15.734444
31.0,4,79.0,67,1950,19.0,74,Asia,blue,10.562500
27.2,4,119.0,97,2300,14.7,78,Asia,blue,14.694444
14.0,8,318.0,150,4457,13.5,74,US,green,55.180136
32.1,4,98.0,70,2120,15.5,80,US,blue,12.484444
15.0,6,250.0,100,3336,17.0,74,US,red,30.913600
12.0,8,383.0,180,4955,11.5,71,US,green,68.200069
17.6,8,302.0,129,3725,13.4,79,US,green,38.543403
25.0,4,113.0,95,2228,14.0,71,Asia,blue,13.788844
28.4,4,151.0,90,2670,16.0,79,US,blue,19.802500
29.0,4,98.0,83,2219,16.5,74,Europe,blue,13.677669
30.9,4,105.0,75,2230,14.5,78,US,blue,13.813611
20.0,6,232.0,100,2914,16.0,75,US,red,23.587211
20.8,6,200.0,85,3070,16.7,78,US,red,26.180278
22.0,6,232.0,112,2835,14.7,82,US,red,22.325625
38.0,4,91.0,67,1965,15.0,82,Asia,blue,10.725625
31.0,4,71.0,65,1773,19.0,71,Asia,blue,8.732025
19.0,6,250.0,88,3302,15.5,71,US,red,30.286678
16.0,6,250.0,100,3781,17.0,74,US,red,39.711003
25.0,4,140.0,75,2542,17.0,74,US,blue,17.949344
22.0,6,225.0,100,3233,15.4,76,US,red,29.034136
26.0,4,91.0,70,1955,20.5,71,US,blue,10.616736
13.0,8,350.0,145,4055,12.0,76,US,green,45.675069
19.9,8,260.0,110,3365,15.5,78,US,green,31.453403
11.0,8,318.0,210,4382,13.5,70,US,green,53.338678
28.0,4,98.0,80,2164,15.0,72,US,blue,13.008044
15.5,8,318.0,145,4140,13.7,77,US,green,47.610000
26.0,4,96.0,69,2189,18.0,72,Europe,blue,13.310336
14.0,8,318.0,150,4237,14.5,73,US,green,49.867136
12.0,8,429.0,198,4952,11.5,73,US,green,68.117511
24.2,6,146.0,120,2930,13.8,81,Asia,red,23.846944
25.0,4,140.0,92,2572,14.9,76,US,blue,18.375511
22.5,6,232.0,90,3085,17.6,76,US,red,26.436736
26.8,6,173.0,115,2700,12.9,79,US,red,20.250000
23.0,6,198.0,95,2904,16.0,73,US,red,23.425600
26.0,4,116.0,75,2246,14.0,74,Europe,blue,14.012544
30.7,6,145.0,76,3160,19.6,81,Europe,red,27.737778
31.0,4,79.0,67,2000,16.0,74,Europe,blue,11.111111
27.2,4,141.0,71,3190,24.8,79,Europe,blue,28.266944
21.5,6,231.0,115,3245,15.4,79,US,red,29.250069
29.0,4,135.0,84,2525,16.0,82,US,blue,17.710069
20.0,4,114.0,91,2582,14.0,73,Europe,blue,18.518678
13.0,8,350.0,150,4699,14.5,74,US,green,61.335003
14.0,8,440.0,215,4312,8.5,70,US,green,51.648178
38.0,4,91.0,67,1995,16.2,82,Asia,blue,11.055625
13.0,8,400.0,175,5140,12.0,71,US,green,73.387778
24.5,4,98.0,60,2164,22.1,76,US,blue,13.008044
13.0,8,350.0,175,4100,13.0,73,US,green,46.694444
25.0,6,181.0,110,2945,16.4,82,US,red,24.091736
24.0,4,113.0,95,2278,15.5,72,Asia,blue,14.414678
34.1,4,91.0,68,1985,16.0,81,Asia,blue,10.945069
13.0,8,400.0,150,4464,12.0,73,US,green,55.353600
44.6,4,91.0,67,1850,13.8,80,Asia,blue,9.506944
20.5,6,200.0,95,3155,18.2,78,US,red,27.650069
18.0,6,258.0,110,2962,13.5,71,US,red,24.370678
23.2,4,156.0,105,2745,16.7,78,US,blue,20.930625
20.0,4,130.0,102,3150,15.7,76,Europe,blue,27.562500
24.0,4,121.0,110,2660,14.0,73,Europe,blue,19.654444
25.5,4,140.0,89,2755,15.8,77,US,blue,21.083403
36.1,4,98.0,66,1800,14.4,78,US,blue,9.000000
23.0,4,120.0,88,2957,17.0,75,Europe,blue,24.288469
24.0,4,90.0,75,2108,15.5,74,Europe,blue,12.343511
18.0,6,250.0,78,3574,21.0,76,US,red,35.481878
26.6,8,350.0,105,3725,19.0,81,US,green,38.543403
32.0,4,85.0,70,1990,17.0,76,Asia,blue,11.000278
20.3,5,131.0,103,2830,15.9,78,Europe,purple,22.246944
27.0,4,97.0,60,1834,19.0,71,Europe,blue,9.343211
17.0,8,304.0,150,3672,11.5,72,US,green,37.454400
21.0,4,140.0,72,2401,19.5,73,US,blue,16.013336
13.0,8,400.0,170,4746,12.0,71,US,green,62.568100
24.0,4,107.0,90,2430,14.5,70,Europe,blue,16.402500
17.0,8,260.0,110,4060,19.0,77,US,green,45.787778
39.1,4,79.0,58,1755,16.9,81,Asia,blue,8.555625
14.5,8,351.0,152,4215,12.8,76,US,green,49.350625
13.0,8,350.0,145,3988,13.0,73,US,green,44.178178
20.2,8,302.0,139,3570,12.8,78,US,green,35.402500
27.0,4,101.0,83,2202,15.3,76,Europe,blue,13.468900
35.0,4,72.0,69,1613,18.0,71,Asia,blue,7.227136
15.0,8,318.0,150,3777,12.5,73,US,green,39.627025
36.4,5,121.0,67,2950,19.9,80,Europe,purple,24.173611
30.0,4,111.0,80,2155,14.8,77,US,blue,12.900069
31.9,4,89.0,71,1925,14.0,79,Europe,blue,10.293403
26.0,4,97.0,46,1835,20.5,70,Europe,blue,9.353403
16.0,6,225.0,105,3439,15.5,71,US,red,32.852003
20.0,4,140.0,90,2408,19.5,72,US,blue,16.106844
18.6,6,225.0,110,3620,18.7,78,US,red,36.401111
14.0,8,400.0,175,4464,11.5,71,US,green,55.353600
25.0,4,97.5,80,2126,17.0,72,US,blue,12.555211
33.0,4,105.0,74,2190,14.2,81,Europe,blue,13.322500
14.0,8,318.0,150,4096,13.0,71,US,green,46.603378
18.5,8,360.0,150,3940,13.0,79,US,green,43.121111
37.2,4,86.0,65,2019,16.4,80,Asia,blue,11.323225
18.0,6,232.0,100,3288,15.5,71,US,red,30.030400
44.3,4,90.0,48,2085,21.7,80,Europe,blue,12.075625
18.0,6,250.0,105,3459,16.0,75,US,red,33.235225
28.0,4,140.0,90,2264,15.5,71,US,blue,14.238044
43.4,4,90.0,48,2335,23.7,80,Europe,blue,15.145069
20.6,6,231.0,105,3380,15.8,78,US,red,31.734444
19.2,6,231.0,105,3535,19.2,78,US,red,34.711736
26.4,4,140.0,88,2870,18.1,80,US,blue,22.880278
18.0,6,232.0,100,2945,16.0,73,US,red,24.091736
28.0,4,97.0,75,2155,16.4,76,Asia,blue,12.900069
26.0,4,121.0,113,2234,12.5,70,Europe,blue,13.863211
13.0,8,400.0,190,4422,12.5,72,US,green,54.316900
25.8,4,156.0,92,2620,14.4,81,US,blue,19.067778
28.1,4,141.0,80,3230,20.4,81,Europe,blue,28.980278
13.0,8,350.0,165,4274,12.0,72,US,green,50.741878
16.5,8,350.0,180,4380,12.1,76,US,green,53.290000
31.5,4,89.0,71,1990,14.9,78,Europe,blue,11.000278
24.0,4,120.0,97,2489,15.0,74,Asia,blue,17.208669
15.0,6,250.0,72,3158,19.5,75,US,red,27.702678
18.0,6,225.0,105,3613,16.5,74,US,red,36.260469
33.5,4,151.0,90,2556,13.2,79,US,blue,18.147600
32.4,4,108.0,75,2350,16.8,81,Asia,blue,15.340278
27.0,4,97.0,88,2130,14.5,70,Asia,blue,12.602500
13.0,8,350.0,155,4502,13.5,72,US,green,56.300011
31.0,4,91.0,68,1970,17.6,82,Asia,blue,10.780278
28.0,4,151.0,90,2678,16.5,80,US,blue,19.921344
27.2,4,135.0,84,2490,15.7,81,US,blue,17.222500
21.0,4,120.0,87,2979,19.5,72,Europe,blue,24.651225
19.0,4,121.0,112,2868,15.5,73,Europe,blue,22.848400
25.0,4,110.0,87,2672,17.5,70,Europe,blue,19.832178
23.0,8,350.0,125,3900,17.4,79,US,green,42.250000
19.0,6,156.0,108,2930,15.5,76,Asia,red,23.846944
15.5,8,351.0,142,4054,14.3,79,US,green,45.652544
23.9,4,119.0,97,2405,14.9,78,Asia,blue,16.066736
22.0,6,250.0,105,3353,14.5,76,US,red,31.229469
29.0,4,97.0,75,2171,16.0,75,Asia,blue,13.092336
14.0,8,302.0,137,4042,14.5,73,US,green,45.382678
15.0,8,318.0,150,3399,11.0,73,US,green,32.092225
27.0,4,112.0,88,2640,18.6,82,US,blue,19.360000
15.0,8,350.0,145,4440,14.0,75,US,green,54.760000
30.5,4,98.0,63,2051,17.0,77,US,blue,11.685003
25.0,4,104.0,95,2375,17.5,70,Europe,blue,15.668403
17.5,8,305.0,140,4215,13.0,76,US,green,49.350625
34.0,4,112.0,88,2395,18.0,82,US,blue,15.933403
38.0,6,262.0,85,3015,17.0,82,US,red,25.250625
30.0,4,79.0,70,2074,19.5,71,Europe,blue,11.948544
19.8,6,200.0,85,2990,18.2,79,US,red,24.833611
25.0,4,121.0,115,2671,13.5,75,Europe,blue,19.817336
21.0,4,122.0,86,2226,16.5,72,US,blue,13.764100
26.0,4,98.0,79,2255,17.7,76,US,blue,14.125069
16.5,6,168.0,120,3820,16.7,76,Europe,red,40.534444
18.1,6,258.0,120,3410,15.1,78,US,red,32.300278
46.6,4,86.0,65,2110,17.9,80,Asia,blue,12.366944
21.5,4,121.0,110,2600,12.8,77,Europe,blue,18.777778
14.0,8,454.0,220,4354,9.0,70,US,green,52.659211
21.6,4,121.0,115,2795,15.7,78,Europe,blue,21.700069
15.5,8,350.0,170,4165,11.4,77,US,green,48.186736
20.5,6,225.0,100,3430,17.2,78,US,red,32.680278
23.9,8,260.0,90,3420,22.2,79,US,green,32.490000
12.0,8,455.0,225,4951,11.0,73,US,green,68.090003
20.2,6,200.0,85,2965,15.8,78,US,red,24.420069
34.4,4,98.0,65,2045,16.2,81,US,blue,11.616736
23.0,4,120.0,97,2506,14.5,72,Asia,blue,17.444544
24.3,4,151.0,90,3003,20.1,80,US,blue,25.050025
19.0,6,232.0,90,3211,17.0,75,US,red,28.640336
29.0,4,68.0,49,1867,19.5,73,Europe,blue,9.682469
23.5,6,173.0,110,2725,12.6,81,US,red,20.626736
34.0,4,108.0,70,2245,16.9,82,Asia,blue,14.000069
37.0,4,119.0,92,2434,15.0,80,Asia,blue,16.456544
33.0,4,91.0,53,1795,17.5,75,Asia,blue,8.950069
18.0,6,232.0,100,2789,15.0,73,US,red,21.607003
15.0,8,390.0,190,3850,8.5,70,US,green,41.173611
34.7,4,105.0,63,2215,14.9,81,US,blue,13.628403
19.4,6,232.0,90,3210,17.2,78,US,red,28.622500
32.0,4,91.0,67,1965,15.7,82,Asia,blue,10.725625
34.1,4,86.0,65,1975,15.2,79,Asia,blue,10.835069
33.7,4,107.0,75,2210,14.4,81,Asia,blue,13.566944
20.0,6,225.0,100,3651,17.7,76,US,red,37.027225
15.0,6,258.0,110,3730,19.0,75,US,red,38.646944
38.1,4,89.0,60,1968,18.8,80,Asia,blue,10.758400
26.0,4,108.0,93,2391,15.5,74,Asia,blue,15.880225
27.0,4,97.0,88,2100,16.5,72,Asia,blue,12.250000
16.0,8,318.0,150,4498,14.5,75,US,green,56.200011
17.0,6,250.0,100,3329,15.5,71,US,red,30.784003
13.0,8,318.0,150,3940,13.2,76,US,green,43.121111
28.0,4,112.0,88,2605,19.6,82,US,blue,18.850069
14.0,8,455.0,225,3086,10.0,70,US,green,26.453878
31.5,4,98.0,68,2045,18.5,77,Asia,blue,11.616736
34.5,4,105.0,70,2150,14.9,79,US,blue,12.840278
11.0,8,429.0,208,4633,11.0,72,US,green,59.624136
16.0,6,250.0,105,3897,18.5,75,US,red,42.185025
31.6,4,120.0,74,2635,18.3,81,Asia,blue,19.286736
19.1,6,225.0,90,3381,18.7,80,US,red,31.753225
18.5,6,250.0,110,3645,16.2,76,US,red,36.905625
15.0,6,250.0,72,3432,21.0,75,US,red,32.718400
18.0,6,199.0,97,2774,15.5,70,US,red,21.375211
35.0,4,122.0,88,2500,15.1,80,Europe,blue,17.361111
20.2,6,200.0,88,3060,17.1,81,US,red,26.010000
13.0,8,302.0,129,3169,12.0,75,US,green,27.896003
31.0,4,112.0,85,2575,16.2,82,US,blue,18.418403
22.0,4,122.0,86,2395,16.0,72,US,blue,15.933403
11.0,8,400.0,150,4997,14.0,73,US,green,69.361136
33.5,4,85.0,70,1945,16.8,77,Asia,blue,10.508403
43.1,4,90.0,48,1985,21.5,78,Europe,blue,10.945069
25.4,5,183.0,77,3530,20.1,79,Europe,purple,34.613611
40.8,4,85.0,65,2110,19.2,80,Asia,blue,12.366944
14.0,8,400.0,175,4385,12.0,72,US,green,53.411736
29.8,4,134.0,90,2711,15.5,80,Asia,blue,20.415336
16.0,8,318.0,150,4190,13.0,76,US,green,48.766944
20.6,6,225.0,110,3360,16.6,79,US,red,31.360000
18.0,8,307.0,130,3504,12.0,70,US,green,34.105600
33.0,4,91.0,53,1795,17.4,76,Asia,blue,8.950069
31.8,4,85.0,65,2020,19.2,79,Asia,blue,11.334444
13.0,8,351.0,158,4363,13.0,73,US,green,52.877136
20.0,6,198.0,95,3102,16.5,74,US,red,26.728900
32.0,4,83.0,61,2003,19.0,74,Asia,blue,11.144469
13.0,8,440.0,215,4735,11.0,73,US,green,62.278403
23.7,3,70.0,100,2420,12.5,80,Asia,black,16.267778
19.2,8,305.0,145,3425,13.2,78,US,green,32.585069
37.0,4,91.0,68,2025,18.2,82,Asia,blue,11.390625
18.0,8,318.0,150,3436,11.0,70,US,green,32.794711
19.0,4,120.0,88,3270,21.9,76,Europe,blue,29.702500
32.3,4,97.0,67,2065,17.8,81,Asia,blue,11.845069
18.0,6,225.0,105,3121,16.5,73,US,red,27.057336
13.0,8,360.0,175,3821,11.0,73,US,green,40.555669
12.0,8,350.0,160,4456,13.5,72,US,green,55.155378
36.0,4,105.0,74,1980,15.3,82,Europe,blue,10.890000
18.2,8,318.0,135,3830,15.2,79,US,green,40.746944
19.0,6,232.0,100,2634,13.0,71,US,red,19.272100
30.0,4,146.0,67,3250,21.8,80,Europe,blue,29.340278
15.0,8,429.0,198,4341,10.0,70,US,green,52.345225
11.0,8,350.0,180,3664,11.0,73,US,green,37.291378
10.0,8,360.0,215,4615,14.0,70,US,green,59.161736
16.0,6,250.0,100,3278,18.0,73,US,red,29.848011
14.0,8,455.0,225,4425,10.0,70,US,green,54.390625
16.9,8,350.0,155,4360,14.9,79,US,green,52.804444
13.0,8,360.0,170,4654,13.0,73,US,green,60.165878
25.0,4,116.0,81,2220,16.9,76,Europe,blue,13.690000
21.0,6,200.0,85,2587,16.0,70,US,red,18.590469
21.1,4,134.0,95,2515,14.8,78,Asia,blue,17.570069
26.0,4,122.0,80,2451,16.5,74,US,blue,16.687225
28.0,4,97.0,92,2288,17.0,72,Asia,blue,14.541511
29.0,4,90.0,70,1937,14.0,75,Europe,blue,10.422136
16.0,8,351.0,149,4335,14.5,77,US,green,52.200625
26.6,4,151.0,84,2635,16.4,81,US,blue,19.286736
19.0,3,70.0,97,2330,13.5,72,Asia,black,15.080278
32.8,4,78.0,52,1985,19.4,78,Asia,blue,10.945069
22.0,4,140.0,72,2408,19.0,71,US,blue,16.106844
19.0,4,122.0,85,2310,18.5,73,US,blue,14.822500
31.0,4,76.0,52,1649,16.5,74,Asia,blue,7.553336
23.0,4,115.0,95,2694,15.0,75,Europe,blue,20.160100
29.5,4,97.0,71,1825,12.2,76,Europe,blue,9.251736
17.5,8,318.0,140,4080,13.7,78,US,green,46.240000
19.0,6,250.0,100,3282,15.0,71,US,red,29.920900
24.0,4,134.0,96,2702,13.5,75,Asia,blue,20.280011
14.0,8,304.0,150,4257,15.5,74,US,green,50.339025
28.0,4,90.0,75,2125,14.5,74,US,blue,12.543403
21.0,6,155.0,107,2472,14.0,73,US,red,16.974400
22.4,6,231.0,110,3415,15.8,81,US,red,32.395069
36.0,4,107.0,75,2205,14.5,82,Asia,blue,13.505625
18.0,6,171.0,97,2984,14.5,75,US,red,24.734044
16.2,6,163.0,133,3410,15.8,78,Europe,red,32.300278
39.4,4,85.0,70,2070,18.6,78,Asia,blue,11.902500
30.0,4,97.0,67,1985,16.4,77,Asia,blue,10.945069
18.0,4,121.0,112,2933,14.5,72,Europe,blue,23.895803
17.5,8,305.0,145,3880,12.5,77,US,green,41.817778
28.8,6,173.0,115,2595,11.3,79,US,red,18.705625
22.0,4,121.0,98,2945,14.5,75,Europe,blue,24.091736
34.2,4,105.0,70,2200,13.2,79,US,blue,13.444444
30.5,4,97.0,78,2190,14.1,77,Europe,blue,13.322500
16.0,8,400.0,230,4278,9.5,73,US,green,50.836900
38.0,4,105.0,63,2125,14.7,82,US,blue,12.543403
41.5,4,98.0,76,2144,14.7,80,Europe,blue,12.768711
27.9,4,156.0,105,2800,14.4,80,US,blue,21.777778
22.0,6,198.0,95,2833,15.5,70,US,red,22.294136
29.8,4,89.0,62,1845,15.3,80,Europe,blue,9.455625
17.7,6,231.0,165,3445,13.4,78,US,red,32.966736
15.0,8,350.0,165,3693,11.5,70,US,green,37.884025
14.0,8,340.0,160,3609,8.0,70,US,green,36.180225
15.5,8,400.0,190,4325,12.2,77,US,green,51.960069
17.5,6,258.0,95,3193,17.8,76,US,red,28.320136
12.0,8,350.0,180,4499,12.5,73,US,green,56.225003
29.0,4,97.0,78,1940,14.5,77,Europe,blue,10.454444
15.5,8,304.0,120,3962,13.9,76,US,green,43.604011
35.7,4,98.0,80,1915,14.4,79,US,blue,10.186736
26.0,4,97.0,75,2265,18.2,77,Asia,blue,14.250625
30.0,4,98.0,68,2155,16.5,78,US,blue,12.900069
33.8,4,97.0,67,2145,18.0,80,Asia,blue,12.780625
18.0,6,225.0,95,3785,19.0,75,US,red,39.795069
13.0,8,302.0,140,4294,16.0,72,US,green,51.217878
20.0,8,262.0,110,3221,13.5,75,US,green,28.819003
32.4,4,107.0,72,2290,17.0,80,Asia,blue,14.566944
16.0,8,304.0,150,3433,12.0,70,US,green,32.737469
27.5,4,134.0,95,2560,14.2,78,Asia,blue,18.204444
23.0,4,97.0,54,2254,23.5,72,Europe,blue,14.112544
14.0,8,351.0,153,4129,13.0,72,US,green,47.357336
17.0,8,305.0,130,3840,15.4,79,US,green,40.960000
16.0,8,400.0,170,4668,11.5,75,US,green,60.528400
23.0,4,122.0,86,2220,14.0,71,US,blue,13.690000
24.0,4,119.0,97,2545,17.0,75,Asia,blue,17.991736
27.0,4,151.0,90,2735,18.0,82,US,blue,20.778403
15.0,8,350.0,145,4082,13.0,73,US,green,46.285344
27.0,4,140.0,86,2790,15.6,82,US,blue,21.622500
28.0,4,120.0,79,2625,18.6,82,US,blue,19.140625
14.0,8,350.0,165,4209,12.0,71,US,green,49.210225
33.5,4,98.0,83,2075,15.9,77,US,blue,11.960069
39.0,4,86.0,64,1875,16.4,81,US,blue,9.765625
24.0,4,140.0,92,2865,16.4,82,US,blue,22.800625
26.5,4,140.0,72,2565,13.6,76,US,blue,18.275625
19.4,8,318.0,140,3735,13.2,78,US,green,38.750625
15.0,8,318.0,150,4135,13.5,72,US,green,47.495069
25.5,4,122.0,96,2300,15.5,77,US,blue,14.694444
14.0,8,304.0,150,3672,11.5,73,US,green,37.454400
27.4,4,121.0,80,2670,15.0,79,US,blue,19.802500
13.0,8,302.0,130,3870,15.0,76,US,green,41.602500
19.0,6,225.0,100,3630,17.7,77,US,red,36.602500
17.0,6,163.0,125,3140,13.6,78,Europe,red,27.387778
28.0,4,116.0,90,2123,14.0,71,Europe,blue,12.519803
22.0,4,108.0,94,2379,16.5,73,Asia,blue,15.721225
30.0,4,88.0,76,2065,14.5,71,Europe,blue,11.845069
18.0,3,70.0,90,2124,13.5,73,Asia,black,12.531600
14.0,8,318.0,150,4077,14.0,72,US,green,46.172025
22.0,6,146.0,97,2815,14.5,77,Asia,red,22.011736
23.8,4,151.0,85,2855,17.6,78,US,blue,22.641736
24.0,6,200.0,81,3012,17.6,76,US,red,25.200400
26.0,4,97.0,78,2300,14.5,74,Europe,blue,14.694444
26.0,4,97.0,46,1950,21.0,73,Europe,blue,10.562500
30.0,4,135.0,84,2385,12.9,81,US,blue,15.800625
29.0,4,90.0,70,1937,14.2,76,Europe,blue,10.422136
14.0,8,351.0,153,4154,13.5,71,US,green,47.932544
25.4,6,168.0,116,2900,12.6,81,Asia,red,23.361111
19.0,6,232.0,100,2901,16.0,74,US,red,23.377225
12.0,8,400.0,167,4906,12.5,73,US,green,66.857878
20.0,4,97.0,88,2279,19.0,73,Asia,blue,14.427336
27.0,4,97.0,88,2130,14.5,71,Asia,blue,12.602500
22.3,4,140.0,88,2890,17.3,79,US,blue,23.200278
10.0,8,307.0,200,4376,15.0,70,US,green,53.192711
19.2,8,267.0,125,3605,15.0,79,US,green,36.100069
26.0,4,156.0,92,2585,14.5,82,US,blue,18.561736
16.0,6,258.0,110,3632,18.0,74,US,red,36.642844
37.3,4,91.0,69,2130,14.7,79,Europe,blue,12.602500
26.0,4,79.0,67,1963,15.5,74,Europe,blue,10.703803
20.2,6,232.0,90,3265,18.2,79,US,red,29.611736
13.0,8,318.0,150,3755,14.0,76,US,green,39.166736
21.0,6,199.0,90,2648,15.0,70,US,red,19.477511
25.0,4,90.0,71,2223,16.5,75,Europe,blue,13.727025
20.5,6,231.0,105,3425,16.9,77,US,red,32.585069
37.7,4,89.0,62,2050,17.3,81,Asia,blue,11.673611
36.0,4,120.0,88,2160,14.5,82,Asia,blue,12.960000
20.0,6,156.0,122,2807,13.5,73,Asia,red,21.886803
37.0,4,85.0,65,1975,19.4,81,Asia,blue,10.835069
18.0,6,250.0,88,3021,16.5,73,US,red,25.351225
27.0,4,151.0,90,2950,17.3,82,US,blue,24.173611
29.5,4,98.0,68,2135,16.6,78,Asia,blue,12.661736
17.5,6,250.0,110,3520,16.4,77,US,red,34.417778
25.1,4,140.0,88,2720,15.4,78,US,blue,20.551111
