population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality
4.500638e+06,5.16,0.80,0.083746,20.88509,1088.0,125.7948,60.4,60.4
1.339941e+06,1.62,1.20,13.031379,26.26446,24743.0,129.5161,74.0,5.5
8.432060e+05,2.74,0.10,1.277780,26.53078,7129.0,127.4768,65.7,24.0
5.314170e+06,1.85,0.10,10.644114,26.73339,42122.0,126.5645,79.4,3.3
6.230953e+07,1.97,0.40,5.999021,25.85329,37505.0,120.0146,81.0,4.3
1.473741e+06,4.28,5.30,1.079539,24.07620,15800.0,130.3625,57.5,68.0
1.586749e+06,5.80,1.70,0.251002,21.65029,1566.0,130.2080,62.2,87.4
4.343290e+06,1.79,0.10,1.419430,25.54942,5900.0,130.5789,72.1,19.3
8.066591e+07,1.37,0.10,9.497247,27.16509,41199.0,124.9044,80.0,4.4
2.311592e+07,4.19,1.80,0.366601,22.84247,2907.0,128.2953,62.7,79.9
1.116176e+07,1.46,0.10,8.661236,26.33786,32197.0,122.9342,79.5,4.9
1.410669e+07,4.12,0.80,0.835595,25.29947,6960.0,120.9596,70.8,36.9
1.042736e+07,5.34,1.40,0.126964,22.52449,1230.0,132.2765,58.3,121.0
1.561293e+06,5.25,2.50,0.156376,21.64338,1326.0,130.7627,51.3,127.6
7.480960e+05,2.74,1.20,2.073415,23.68465,5208.0,125.1512,63.0,41.9
9.705130e+06,3.50,2.00,0.249307,23.66302,1600.0,125.3461,61.7,83.3
7.259470e+06,3.27,0.80,1.187454,25.10872,4391.0,122.9621,70.9,26.5
1.005070e+07,1.33,0.06,5.453232,27.11568,23334.0,128.6968,73.8,7.2
3.100330e+05,2.12,0.30,6.821903,27.20687,42294.0,118.7381,82.0,2.7
1.197070e+09,2.64,0.32,1.520849,20.95956,3901.0,123.1274,64.4,65.6
2.353608e+08,2.48,0.20,1.755044,21.85576,7856.0,126.4216,69.5,36.2
7.253069e+07,1.88,0.20,7.892211,25.31003,15955.0,125.1859,76.9,21.4
4.480145e+06,2.00,0.20,9.882531,27.65325,47713.0,124.7801,79.4,4.5
7.093808e+06,2.92,0.20,10.001188,27.13151,28562.0,121.0838,80.9,4.9
5.931923e+07,1.39,0.30,7.465942,26.48020,37475.0,123.7030,81.4,4.1
2.717344e+06,2.39,1.70,4.391456,24.00421,8951.0,125.3685,75.5,18.9
1.273179e+08,1.34,0.06,9.536606,23.50004,34800.0,121.9651,82.6,3.4
1.591597e+07,2.51,0.10,14.718104,26.29078,18797.0,128.8517,66.1,25.9
3.824444e+07,4.76,6.30,0.266308,21.59258,2358.0,129.9341,61.5,71.0
2.144215e+06,1.50,0.60,3.341849,26.45693,20977.0,129.5746,72.3,10.5
4.109389e+06,1.57,0.10,3.996722,27.20117,14158.0,127.5037,77.6,11.3
1.972194e+06,3.34,23.60,0.008618,21.90157,2041.0,131.1361,45.2,114.2
3.672782e+06,5.19,1.60,0.157352,21.89537,588.0,131.2555,61.0,100.9
3.219802e+06,1.42,0.10,4.498483,26.86102,23223.0,130.8226,72.0,8.2
4.850790e+05,1.63,0.30,22.168080,27.43404,95001.0,122.3705,80.7,2.8
1.992680e+07,4.79,0.20,0.099422,21.40347,1528.0,132.8371,63.4,66.7
1.390467e+07,5.78,11.20,0.082470,22.03468,674.0,133.9390,51.4,101.1
2.719742e+07,2.05,0.50,7.752234,24.73069,19968.0,123.8593,74.5,8.0
3.210260e+05,2.38,0.06,3.277726,23.21991,12029.0,123.3223,78.2,16.0
1.422340e+07,6.82,1.00,0.041079,21.78881,1602.0,128.0308,55.8,148.3
4.063920e+05,1.38,0.10,6.182771,27.68361,27872.0,124.1571,81.4,6.6
3.414552e+06,4.94,0.70,0.613104,22.62295,3356.0,129.9875,63.6,103.0
1.238013e+06,1.58,0.90,3.078763,25.15669,14615.0,130.8786,72.1,15.8
1.149728e+08,2.35,0.30,4.261172,27.42468,15826.0,122.1216,75.7,17.9
4.111168e+06,1.49,0.40,1.313321,24.23690,3890.0,129.9424,69.6,17.6
2.629666e+06,2.37,0.06,3.759487,24.88385,7563.0,129.7504,63.2,34.8
3.135054e+07,2.44,0.10,1.594083,25.63182,6091.0,126.5284,73.3,35.8
2.299487e+07,5.54,11.40,0.104748,21.93536,864.0,135.3949,55.0,114.4
5.103001e+07,2.05,0.60,0.191053,21.44932,2891.0,123.1421,60.8,87.2
2.632518e+07,2.90,0.40,0.105413,20.76344,1866.0,125.5561,68.6,50.7
1.651986e+07,1.77,0.20,10.533028,26.01541,47388.0,121.6950,80.3,4.8
4.285380e+06,2.12,0.10,8.009084,27.76893,32122.0,118.7421,80.2,6.4
5.594524e+06,2.72,0.20,0.778152,25.77291,4060.0,123.4792,75.2,28.1
1.508513e+07,7.59,0.80,0.063437,21.21958,843.0,135.1021,59.7,141.3
1.511157e+08,6.02,3.60,0.614690,23.03322,4684.0,135.4920,58.0,140.9
4.771633e+06,1.96,0.10,10.529769,26.93424,65216.0,126.0266,80.7,3.6
2.652281e+06,2.89,0.10,15.572080,26.24109,47799.0,126.8870,74.6,11.9
1.630970e+08,3.58,0.10,0.935618,22.29914,4187.0,126.5196,64.1,95.5
3.498679e+06,2.61,0.90,2.223796,26.26959,14033.0,122.6829,77.1,21.0
6.540267e+06,4.07,0.90,0.530746,25.01506,1982.0,120.0524,58.2,69.7
6.047131e+06,3.06,0.30,0.698582,25.54223,6684.0,123.6150,73.6,25.7
2.864205e+07,2.58,0.40,1.450134,24.77041,9249.0,119.6368,76.8,23.2
9.029712e+07,3.26,0.06,0.842121,22.87263,5332.0,122.3459,69.4,33.4
3.852575e+07,1.33,0.10,8.270767,26.67380,19996.0,129.6765,75.3,6.7
1.057746e+07,1.36,0.50,5.486926,26.68445,27747.0,127.2631,79.2,4.1
1.388962e+06,2.20,0.06,48.702062,28.13138,126076.0,126.3153,80.4,9.5
2.074167e+07,1.34,0.10,4.383449,25.41069,18032.0,128.7553,73.4,16.1
1.431232e+08,1.49,1.00,11.982718,26.01131,22506.0,128.4903,67.6,13.5
9.750314e+06,5.06,2.90,0.054244,22.55453,1173.0,135.1005,62.2,78.3
1.222970e+07,5.11,0.80,0.461634,21.92743,2162.0,130.2795,64.3,75.8
9.109535e+06,1.41,0.10,5.271223,26.51495,12522.0,130.3755,76.4,8.0
5.521838e+06,5.13,1.60,0.118256,22.53139,1289.0,134.7160,55.9,179.1
4.849641e+06,1.28,0.10,4.114441,23.83996,65991.0,121.1736,80.9,2.8
5.396710e+06,1.31,0.06,6.901654,26.92717,24670.0,129.5280,74.8,8.8
2.030599e+06,1.43,0.06,8.511828,27.43983,30816.0,129.9231,78.5,3.7
9.132589e+06,7.06,0.60,0.068219,21.96917,615.0,131.5318,56.7,168.5
5.034881e+07,2.54,17.90,9.427960,26.85538,12263.0,130.9949,55.0,66.1
4.581702e+07,1.42,0.40,7.293089,27.49975,34676.0,122.0453,81.1,5.0
1.994955e+07,2.32,0.06,0.580791,21.96671,6907.0,124.8615,74.3,11.7
3.447014e+07,4.79,1.00,0.382118,22.40484,3246.0,129.7199,67.4,84.7
5.066570e+05,2.41,1.00,4.741140,25.49887,13470.0,124.6358,69.1,26.4
1.153750e+06,3.70,25.90,0.949861,23.16969,5887.0,131.8793,46.1,112.2
9.226333e+06,1.92,0.10,5.315688,26.37629,43421.0,122.9473,81.1,3.2
7.646542e+06,1.47,0.40,5.333058,26.20195,55020.0,119.6465,81.9,4.7
7.254072e+06,3.70,0.20,0.453168,23.77966,2001.0,129.9657,69.5,56.2
4.284474e+07,5.54,5.80,0.154673,22.47792,2030.0,130.8328,59.7,72.4
6.645326e+07,1.48,1.30,3.835102,23.00803,12216.0,120.4969,74.1,15.6
6.052937e+06,4.88,3.20,0.251983,21.87875,1219.0,131.0248,60.0,96.4
1.315372e+06,1.80,1.50,31.957717,26.39669,30875.0,124.9939,71.3,24.9
1.040809e+07,2.04,0.06,2.440669,25.15699,9938.0,128.6291,76.5,19.4
7.034436e+07,2.15,0.06,4.021903,26.70371,16454.0,124.0675,75.1,22.2
3.101443e+07,6.34,6.40,0.100853,22.35833,1437.0,134.5204,57.2,89.3
4.602848e+07,1.38,1.10,7.032359,25.42379,8762.0,131.4962,68.2,12.9
6.168962e+07,1.87,0.20,8.526467,27.39249,37739.0,124.0845,79.5,5.6
3.044731e+08,2.07,0.60,18.545992,28.45698,50384.0,118.4777,78.2,7.7
3.350832e+06,2.11,0.50,2.489764,26.39123,15317.0,124.2604,76.0,13.0
2.695272e+07,2.46,0.10,4.476669,25.32054,3733.0,124.3462,68.7,49.2
8.658934e+07,1.86,0.40,1.479347,20.91630,4085.0,121.9367,75.4,26.2
1.311458e+07,5.88,13.60,0.148982,20.68321,3039.0,132.4493,52.0,94.9
1.349546e+07,3.85,15.10,0.654323,22.02660,1286.0,131.9745,49.0,98.3
